Date,Close,High,Low,Open,Volume,value,value_classification,timestamp,time_until_update,US Dollar Index,Federal Funds Rate,SMA50,SMA200,delta,gain,loss,avg_gain,avg_loss,rs,RSI,MA20,stddev,UpperBand,LowerBand,Daily_Return
2018-05-22,8041.77978515625,8423.25,8004.580078125,8419.8701171875,5137010176,30,Fear,1526947200,,93.61000061035156,1.7,8391.2517578125,,-377.21044921875,0.0,377.21044921875,85.59071568080357,170.88643973214286,0.5008631218191644,33.371672242308065,8898.744970703125,515.0111501003796,9928.767270903883,7868.722670502366,-4.480471395234408
2018-05-23,7557.81982421875,8054.66015625,7507.8798828125,8037.080078125,6491120128,26,Fear,1527033600,,94.01000213623048,1.7,8358.305751953125,,-483.9599609375,0.0,483.9599609375,49.309256417410715,205.45500837053572,0.24000026481944914,19.354855932582765,8834.348950195312,596.1202195549532,10026.589389305218,7642.108511085406,-6.018070301188894
2018-05-24,7587.33984375,7738.60009765625,7331.14013671875,7561.1201171875,6049220096,27,Fear,1527120000,,93.77999877929688,1.7,8326.155556640624,,29.52001953125,29.52001953125,-0.0,51.41782924107143,202.37639508928572,0.2540702892666241,20.259653022734753,8749.640454101562,647.399467406865,10044.439388915293,7454.841519287832,0.39058908809461723
2018-05-25,7480.14013671875,7659.14013671875,7392.64990234375,7592.2998046875,4867829760,25,Extreme Fear,1527206400,,94.19000244140624,1.7,8310.36216796875,,-107.19970703125,0.0,107.19970703125,51.41782924107143,186.622802734375,0.2755173992015099,21.60044224986561,8674.294970703126,703.5670153354896,10081.429001374105,7267.160940032147,-1.4128760440268784
2018-05-29,7472.58984375,7526.419921875,7090.68017578125,7129.4599609375,5662660096,16,Extreme Fear,1527552000,,94.83000183105467,1.7,8293.7967578125,,-7.55029296875,0.0,7.55029296875,51.41782924107143,177.29143415178572,0.29001868864713864,22.48174318709178,8585.89697265625,738.8572581413363,10063.611488938923,7108.182456373577,-0.10093785451541493
2018-05-30,7406.52001953125,7573.77001953125,7313.60009765625,7469.72998046875,4922540032,38,Fear,1527638400,,94.1500015258789,1.7,8275.160166015625,,-66.06982421875,0.0,66.06982421875,44.963588169642854,182.01070731026786,0.24703814865679774,19.80999129199745,8500.272485351563,772.2959823002884,10044.86444995214,6955.680520750986,-0.8841623265862797
2018-05-31,7494.169921875,7608.89990234375,7361.1298828125,7406.14990234375,5127130112,25,Extreme Fear,1527724800,,93.98999786376952,1.7,8252.430556640626,,87.64990234375,87.64990234375,-0.0,51.224295479910715,161.92218889508928,0.3163513032367624,24.0324374244846,8413.184985351563,783.1031781690806,9979.391341689725,6846.978629013402,1.1834154516914053
2018-06-01,7541.4501953125,7604.72998046875,7407.33984375,7500.7001953125,4921460224,24,Extreme Fear,1527811200,,94.19000244140624,1.82,8224.990166015625,,47.2802734375,47.2802734375,-0.0,54.60145786830357,118.89003208705357,0.45926018279079384,31.4721245879862,8303.064477539063,739.7885634856102,9782.641604510283,6823.487350567842,0.6308940673935393
2018-06-04,7514.47021484375,7753.81982421875,7474.0400390625,7722.52978515625,4993169920,41,Fear,1528070400,,94.0199966430664,1.82,8196.69396484375,,-26.97998046875,0.0,26.97998046875,34.937186104910715,120.81717354910714,0.28917400629894896,22.43095229084939,8193.75,681.6308210323515,9557.011642064703,6830.488357935297,-0.3577558661796876
2018-06-05,7633.759765625,7643.22998046875,7397.0,7500.89990234375,4961739776,26,Fear,1528156800,,93.88999938964844,1.82,8174.799765625,,119.28955078125,119.28955078125,-0.0,43.45786830357143,106.07359095982143,0.4096954568082116,29.062692571616225,8106.7875,632.4337654977644,9371.65503099553,6841.919969004472,1.5874645500039364
2018-06-06,7653.97998046875,7680.43017578125,7502.009765625,7625.97021484375,4692259840,42,Fear,1528243200,,93.66000366210938,1.82,8150.286962890625,,20.22021484375,20.22021484375,-0.0,44.902169363839285,95.962890625,0.46791180498413926,31.876016215374406,8027.7454833984375,580.702872795704,9189.151228989846,6866.339737807029,0.2648788469189478
